/usr/bin/python3.8 /snap/pycharm-professional/240/plugins/python/helpers/pydev/pydevd.py --multiproc --qt-support=auto --client 127.0.0.1 --port 45323 --file /home/bjk/Projects/mtkre/Loader/Preloader/preloader_emu_mmc.py
Connected to pydev debugger (build 211.6693.115)
UART: [SD0] Host controller intialization start [80]
READ of 0x11f300c0 at 0x220AB8, data size = 4, value: 0x1111611
WRITE of 0x11f300c0 at 0x220ADA, data size = 4, value: 0x1111611
READ of 0x11f300d0 at 0x220ADC, data size = 4, value: 0x1161
WRITE of 0x11f300d0 at 0x220AFC, data size = 4, value: 0x1161
READ of 0x11f300c0 at 0x220A6A, data size = 4, value: 0x1111611
WRITE of 0x11f300c0 at 0x220A8E, data size = 4, value: 0x66666666
READ of 0x11f300d0 at 0x220A90, data size = 4, value: 0x1161
WRITE of 0x11f300d0 at 0x220AFC, data size = 4, value: 0x6666
READ of 0x11f300c0 at 0x220AB8, data size = 4, value: 0x66666666
WRITE of 0x11f300c0 at 0x220ADA, data size = 4, value: 0x1111611
READ of 0x11f300d0 at 0x220ADC, data size = 4, value: 0x6666
WRITE of 0x11f300d0 at 0x220AFC, data size = 4, value: 0x1161
READ of 0x1123007c at 0x22031A, data size = 4, value: 0x0
WRITE of 0x1123007c at 0x220320, data size = 4, value: 0x1
READ of 0x1123007c at 0x220326, data size = 4, value: 0x1
WRITE of 0x1123007c at 0x22032C, data size = 4, value: 0x0
READ of 0x11230000 at 0x220482, data size = 4, value: 0x2018199
WRITE of 0x11230000 at 0x2204A6, data size = 4, value: 0x2018199
READ of 0x11230000 at 0x2204A8, data size = 4, value: 0x2018199
WRITE of 0x11230000 at 0x2204AE, data size = 4, value: 0x2018199
READ of 0x11230000 at 0x2204B0, data size = 4, value: 0x2018199
WRITE of 0x11230000 at 0x2204B6, data size = 4, value: 0x201819d
READ of 0x11230000 at 0x2204C2, data size = 4, value: 0x2018199
READ of 0x11230014 at 0x2204E0, data size = 4, value: 0x0
WRITE of 0x11230014 at 0x2204E8, data size = 4, value: 0x80000000
READ of 0x11230014 at 0x2204F4, data size = 4, value: 0x0
READ of 0x1123000c at 0x22054A, data size = 4, value: 0x0
WRITE of 0x1123000c at 0x220550, data size = 4, value: 0x0
READ of 0x1123000c at 0x220552, data size = 4, value: 0x0
READ of 0x11230030 at 0x220554, data size = 4, value: 0x4080000
WRITE of 0x11230030 at 0x22055A, data size = 4, value: 0x4080000
READ of 0x11230030 at 0x22055C, data size = 4, value: 0x4080000
WRITE of 0x11230030 at 0x220562, data size = 4, value: 0x4080000
WRITE of 0x11230004 at 0x21EE52, data size = 4, value: 0x0
WRITE of 0x112300f8 at 0x21EE54, data size = 4, value: 0x0
WRITE of 0x112300fc at 0x21EE58, data size = 4, value: 0x0
WRITE of 0x11230100 at 0x21EE5C, data size = 4, value: 0x0
WRITE of 0x11230104 at 0x21EE60, data size = 4, value: 0x0
WRITE of 0x112300b0 at 0x21EE64, data size = 4, value: 0x403c0006
WRITE of 0x112300b4 at 0x21EE6A, data size = 4, value: 0xffe20349
WRITE of 0x112300b8 at 0x21EE70, data size = 4, value: 0x14801803
WRITE of 0x112300f0 at 0x21EE74, data size = 4, value: 0x0
WRITE of 0x112300f4 at 0x21EE78, data size = 4, value: 0x0
READ of 0x112300b8 at 0x21EEA0, data size = 4, value: 0x14801803
WRITE of 0x112300b8 at 0x21EEC8, data size = 4, value: 0x1480180f
READ of 0x112300f0 at 0x21EECC, data size = 4, value: 0x0
WRITE of 0x112300f0 at 0x21EED8, data size = 4, value: 0x0
READ of 0x11230004 at 0x21EEDC, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21EEE2, data size = 4, value: 0x0
READ of 0x11230004 at 0x21EEE4, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21EEEA, data size = 4, value: 0x0
READ of 0x11230004 at 0x21EEEC, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21EEF2, data size = 4, value: 0x0
READ of 0x11230004 at 0x21EEF4, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21EEFA, data size = 4, value: 0x0
READ of 0x112300f0 at 0x21EEFC, data size = 4, value: 0x0
WRITE of 0x112300f0 at 0x21EF24, data size = 4, value: 0x2000
READ of 0x112300f4 at 0x21EF28, data size = 4, value: 0x0
WRITE of 0x112300f4 at 0x21EF30, data size = 4, value: 0x0
READ of 0x112300b8 at 0x21EF34, data size = 4, value: 0x1480180f
WRITE of 0x112300b8 at 0x21EF3C, data size = 4, value: 0x1480180f
READ of 0x11230004 at 0x21EF44, data size = 4, value: 0x0
WRITE of 0x11230004 at 0x21EF4A, data size = 4, value: 0x0
READ of 0x112300b8 at 0x21EF4C, data size = 4, value: 0x1480180f
WRITE of 0x112300b8 at 0x21EF54, data size = 4, value: 0x1480180f
READ of 0x112300f0 at 0x21EF58, data size = 4, value: 0x0
WRITE of 0x112300f0 at 0x21EF60, data size = 4, value: 0x200000
READ of 0x112300f4 at 0x21EF64, data size = 4, value: 0x0
WRITE of 0x112300f4 at 0x21EF6C, data size = 4, value: 0x0
READ of 0x11230208 at 0x21EF7A, data size = 4, value: 0xe88822
WRITE of 0x11230208 at 0x21EF82, data size = 4, value: 0xe88822
READ of 0x112300b4 at 0x21EF86, data size = 4, value: 0xffe20349
WRITE of 0x112300b4 at 0x21EFA0, data size = 4, value: 0xffe20349
READ of 0x112300b4 at 0x21EFA4, data size = 4, value: 0xffe20349
WRITE of 0x112300b4 at 0x21EFBE, data size = 4, value: 0xffe20341
READ of 0x112300b4 at 0x21EFC2, data size = 4, value: 0xffe20341
WRITE of 0x112300b4 at 0x21EFDC, data size = 4, value: 0xffe20340
READ of 0x112300b4 at 0x21EFE0, data size = 4, value: 0xffe20340
WRITE of 0x112300b4 at 0x21F000, data size = 4, value: 0xffe20340
READ of 0x112300b8 at 0x21F004, data size = 4, value: 0x1480180f
WRITE of 0x112300b8 at 0x21F078, data size = 4, value: 0x3480180f
READ of 0x112300b8 at 0x21F07C, data size = 4, value: 0x3480180f
WRITE of 0x112300b8 at 0x21F09A, data size = 4, value: 0x3481180f
READ of 0x112300b4 at 0x21F09E, data size = 4, value: 0xffe20340
WRITE of 0x112300b4 at 0x21F0A6, data size = 4, value: 0xffe24340
READ of 0x112300b8 at 0x21F0AA, data size = 4, value: 0x3481180f
WRITE of 0x112300b8 at 0x21F0B2, data size = 4, value: 0x3489180f
READ of 0x112300b8 at 0x220576, data size = 4, value: 0x3489180f
WRITE of 0x112300b8 at 0x22057C, data size = 4, value: 0x3489180d
READ of 0x11f30010 at 0x22079E, data size = 4, value: 0xff
